"Cl&eacute; de traduction",Traduction
ENQUIRY_LINK,"ENQUIRY_LINK - N/A"
ERROR_POS_DENIED_ACCESS,"You must be a validated user to access POS materials or Marketing collaterals"
EVENT_TAB,Events
EXCLUDING_VAT,"excl. VAT"
FAQ,FAQ
FAX,Fax
"Featured Links","Featured Links"
FILTER,Filter
FIND_ARCHIVED_PRODUCTS,"Find archived products"
FIRST_NAME,"First name"
FIRST_NAME_ERROR,"Please enter your first name"
FIRST_TIME_DELIVERY,"FIRST_TIME_DELIVERY - N/A"
FOCUS_AREA,"Focus areas"
FOOTER_COPYRIGHT_NOTICE,"Copyright 2011 Logitech. All rights reserved."
FORGOT_PASSWORD,"Forgot password"
FORGOT_PASSWORD_ERROR_EMAIL_TEXT,"Email not recognised"
FORGOT_PASSWORD_ERROR_PWD_TEXT,"Text Error"
FORGOT_PASSWORD_LABEL,"Forgot password"
FORGOT_PASSWORD_MAIL_SUBJECT,"Forgot password for Logitech Partner Exchange"
FORGOT_PASSWORD_MAIL_TEXT,"<p>You have indicated that you can no longer access the Logitech Partner Exchange.</p>
<p>Please click on the below link to reset your password so you can login again.</p>
<p>##URL##</p>
<p>If you have any questions, please just send an email to <a href=""mailto:partner.uk@logitech.com"">partner.uk@logitech.com</a></p>
<p>Best regards,<br />Logitech Europe SA</p>"
FORGOT_PASSWORD_TEXT_PRESENTATION_STEP1,"Please enter your email address so we can send you a mail to reset your password"
FORGOT_PASSWORD_TEXT_PRESENTATION_STEP2,"An email has been sent to your account. Please simply click on the provided link to reset your password"
FORGOT_PASSWORD_TEXT_PRESENTATION_STEP3,"To reset your password, please enter a new password below twice as instructed and save"
FORM_BUTTON_COPY,Clone
Front,Front
GLOSSARY,Glossary
Groupe,Group
"Has list","list display"
HIGH_RESOLUTION,"High res"
icone,Icon
Identifiant,Identity
IMG_CHANGE_MAIL_SAVE_NEW_EMAIL_BUTTON,"Save new email"
IMG_DOWNLOAD_ALL_BUTTON,"Download all"
IMG_DOWNLOAD_SELECTED_ITEMS_BUTTON,"Download selected items"
IMG_FORGOT_PASSWORD_SAVE_NEW_PASSWORD_BUTTON,"Save new password"
IMG_FORGOT_PASSWORD_SEND_BUTTON,Send
IMG_LOGIN_BUTTON,Login
IMG_REGISTER_BUTTON,"Register now!"
IMG_REGISTRATION_BUTTON,Register
IMG_SAVE_CHANGES_BUTTON,"Save changes"
IMG_SEARCH_BUTTON,Search
IMG_SEND_ENQUIRY_BUTTON,"Send enquiry"
IMG_SEND_REQUEST_BUTTON,"Send request"
IMG_TAKE_TOUR_BUTTON,"Take the tour"
IMG_TOP_CAT_BUTTON,"No. 1"
IMG_TOP_PRODUCT_BUTTON,"We recommend"
IMG_WE_RECOMMEND_BUTTON,
Informations,Informations
INTERNAL_CONTACT_SOCIETY,"INTERNAL_CONTACT_SOCIETY - N/A"
ITEM_REQUESTED,"Requested items"
l'auteur,"the author"
"l'icône d'envoi à un ami","send to friend icon"
"l'icône d'impression","print icon"
"l'icône PDF","PDF icon"
"la date de publication","the publication date"
LABEL_TRANSLATE,Translation
LANGUAGE,Language
LANG_EN,English
LANG_FR,French
LANG_LIST,"Lang list"
"Last articles","Last articles"
LAST_NAME,"Last Name"
FOCUS_AREA,"Focus areas"
FOOTER_COPYRIGHT_NOTICE,"Copyright 2011 Logitech. All rights reserved."
FORGOT_PASSWORD,"Forgot password"
FORGOT_PASSWORD_ERROR_EMAIL_TEXT,"Email not recognised"
FORGOT_PASSWORD_ERROR_PWD_TEXT,"Text Error"
FORGOT_PASSWORD_LABEL,"Forgot password"
FORGOT_PASSWORD_MAIL_SUBJECT,"Forgot password for Logitech Partner Exchange"
FORGOT_PASSWORD_MAIL_TEXT,"<p>You have indicated that you can no longer access the Logitech Partner Exchange.</p>
<p>Please click on the below link to reset your password so you can login again.</p>
<p>##URL##</p>
<p>If you have any questions, please just send an email to <a href=""mailto:partner.uk@logitech.com"">partner.uk@logitech.com</a></p>
<p>Best regards,<br />Logitech Europe SA</p>"
FORGOT_PASSWORD_TEXT_PRESENTATION_STEP1,"Please enter your email address so we can send you a mail to reset your password"
FORGOT_PASSWORD_TEXT_PRESENTATION_STEP2,"An email has been sent to your account. Please simply click on the provided link to reset your password"
FORGOT_PASSWORD_TEXT_PRESENTATION_STEP3,"To reset your password, please enter a new password below twice as instructed and save"
FORM_BUTTON_COPY,Clone
Front,Front
GLOSSARY,Glossary
Groupe,Group
"Has list","list display"
HIGH_RESOLUTION,"High res"
icone,Icon
Identifiant,Identity
IMG_CHANGE_MAIL_SAVE_NEW_EMAIL_BUTTON,"Save new email"
IMG_DOWNLOAD_ALL_BUTTON,"Download all"
IMG_DOWNLOAD_SELECTED_ITEMS_BUTTON,"Download selected items"
IMG_FORGOT_PASSWORD_SAVE_NEW_PASSWORD_BUTTON,"Save new password"
IMG_FORGOT_PASSWORD_SEND_BUTTON,Send
IMG_LOGIN_BUTTON,Login
IMG_REGISTER_BUTTON,"Register now!"
IMG_REGISTRATION_BUTTON,Register
IMG_SAVE_CHANGES_BUTTON,"Save changes"
IMG_SEARCH_BUTTON,Search
IMG_SEND_ENQUIRY_BUTTON,"Send enquiry"
IMG_SEND_REQUEST_BUTTON,"Send request"
IMG_TAKE_TOUR_BUTTON,"Take the tour"
IMG_TOP_CAT_BUTTON,"No. 1"
IMG_TOP_PRODUCT_BUTTON,"We recommend"
IMG_WE_RECOMMEND_BUTTON,
Informations,Informations
INTERNAL_CONTACT_SOCIETY,"INTERNAL_CONTACT_SOCIETY - N/A"
ITEM_REQUESTED,"Requested items"
l'auteur,"the author"
"l'icône d'envoi à un ami","send to friend icon"
"l'icône d'impression","print icon"
"l'icône PDF","PDF icon"
"la date de publication","the publication date"
LABEL_TRANSLATE,Translation
LANGUAGE,Language
LANG_EN,English
LANG_FR,French
LANG_LIST,"Lang list"
"Last articles","Last articles"
LAST_NAME,"Last Name"
LAST_NAME_ERROR,"Please enter your surname"
"le QR Code","the QR Code"
LEARN_MORE,"Learn more"
"Left label","Left label"
"les commentaires",comments
"les partages sociaux","social links"
"les tags",tags
Link,Link
LOGIN,Login
LOGIN_ERROR_NOT_EXIST,"Wrong Login/password"
Logo,Logo
LOGOUT,Logout
LOT_SIZES,"LOT_SIZES - N/A"
LOW_RESOLUTION,"Low res"
MAIL_APPROVAL_REQUEST_BODY,"You have received some Logitech Partner Exchange content for approval.

Please approve within the given deadline.

Link : ##TOKEN##

If you reject the content, you are obliged to give a reason.

Thank you."
MAIL_APPROVAL_REQUEST_SUBJECT,"Your approval is requested"
Map,Cartography
"Map provider","Map provider"
Médiathèque,"Media Library"
MEDIA_TYPE,"Media type"
MEDIUM_RESOLUTION,"Medium res"
MIGRATION_CHOOSE,Choose
MY_DATA,"My data"
MY_NEWS,"My News"
NAME,Name
"Name or path","Name or path"
NEWEST_PRODUCTS,"Latest products"
NEWS,News
NEWSLETTERS_SETTING,"E-communication settings"
NEWSLETTER_QUESTION,"I want to subscribe to regular email communications from Logitech"
Newsletter_subscription,"Newsletter subscription"
NEWS_SETTINGS,"News settings"
NEW_EMAIL_LABEL,"New email"
NEW_PASSWORD_LABEL,"New password"
NEW_PASSWORD_REPEAT_LABEL,"Confirm new password"
NO,No
Nom,Name
Order,Order
ORDER_SELECTED_ITEMS,"ORDER_SELECTED_ITEMS - N/A"
OTHER_INFORMATION_SUPPORT_SERVICES_NEEDED,"OTHER_INFORMATION_SUPPORT_SERVICES_NEEDED - N/A"
pages,pages
PASSWORD,Password
PHONE,Phone
PLEASE_CHOOSE_A_SUBJECT,"Please select a subject"
Poll,Poll
PRESS_ARTICLES_TAB,"Press Articles"
PRESS_ARTICLE_MEDIA_ONLINE,Online
PRESS_ARTICLE_MEDIA_PRINT,Print
PRESS_ARTICLE_MEDIA_RADIO,Radio
PRESS_ARTICLE_MEDIA_TV,TV
PRESS_RELEASES_TAB,"Press Releases"
PRICE,Price
PRINT_PAGE,"Print page"
PRODUCTS,Products
PRODUCT_ARCHIVED,"This product has been archived. If you need more information, please contact us"
PRODUCT_COLOR_COLLECTION,"Colour collection"
PRODUCT_DATASHEETS_AND_CERTIFICATES,"Datasheets & certificates"
PRODUCT_DATA_SHEET,"Product data sheet"
PRODUCT_DESCRIPTION,Description
PRODUCT_DESC_100_WORDS,"100-word description"
PRODUCT_DESC_25_WORDS,"25-word description"
PRODUCT_DESC_50_WORDS,"50-word description"
PRODUCT_DESC_AWARD,Awards
PRODUCT_DESC_CORE_DIFF,"Why to buy"
PRODUCT_DESC_LANDINGPAGE,"Marketing Activities"
PRODUCT_DESC_NEWS,News
PRODUCT_DESC_PACKAGE_CONTENTS,"Package contents"
PRODUCT_DESC_SALES_BENEFITS,"Sales benefits"
PRODUCT_DESC_SAMPLE_AD_COPY,"Sample ad copy"
PRODUCT_DESC_SHELF_CARD_COPY,"Shelf card copy"
PRODUCT_EMBARGO_DATE,"Embargo date"
PRODUCT_FEATURES,Features
PRODUCT_IMAGES,Images
PRODUCT_INFORMATION_TITLE,"Related products"
PRODUCT_LAUNCH_DATE,"Launch date"
PRODUCT_LOGISTIC_INFO,"Logistic info"
PRODUCT_MODEL,"PRODUCT_MODEL - N/A"
PRODUCT_NAME,"Product name"
PRODUCT_NAME_IN_SEARCH_AREA,"Enter product name / part number"
PRODUCT_PART_NUMBER,"Part numbers"
PRODUCT_QTY,"PRODUCT_QTY - to be translated"
PRODUCT_RELATED_PRODUCTS,"Related products"
PRODUCT_REQUIRED_OFFER_PRICE,"PRODUCT_REQUIRED_OFFER_PRICE - to be translated"
PRODUCT_REQUIREMENTS,"PRODUCT_REQUIREMENTS - to be translated"
PRODUCT_TYPE,"Product type"
PRODUCT_TYPE_ALL,All
PRODUCT_TYPE_BUSINESS,"Business product"
PRODUCT_TYPE_RETAIL,"Retail product"
PRODUCT_TYPE_RETAIL_RECOMMENDED_FOR_BUSINESS,"Retail product recommended for business"
PRODUCT_UNIFYING,Unifying
PROFILE,Profile
Profiles,Profiles
Pub,Pub
QUICKLINKS_BUBBLE_TEXT,"Add to quicklinks"
QUICKLINKS_INFOS,"To add a page to the watchlist, click on ##IMAGE## "
QUICKLINKS_TITLE,"Quick links"
RATING,Rating
Recent_comment,"Last comments"
"Rechercher dans :","Find in:"
"Rechercher les medias nommés ou avec l'id :","Find medias with the name or the id:"
LAST_NAME_ERROR,"Please enter your surname"
"le QR Code","the QR Code"
LEARN_MORE,"Learn more"
"Left label","Left label"
"les commentaires",comments
"les partages sociaux","social links"
"les tags",tags
Link,Link
LOGIN,Login
LOGIN_ERROR_NOT_EXIST,"Wrong Login/password"
Logo,Logo
LOGOUT,Logout
LOT_SIZES,"LOT_SIZES - N/A"
LOW_RESOLUTION,"Low res"
MAIL_APPROVAL_REQUEST_BODY,"You have received some Logitech Partner Exchange content for approval.

Please approve within the given deadline.

Link : ##TOKEN##

If you reject the content, you are obliged to give a reason.

Thank you."
MAIL_APPROVAL_REQUEST_SUBJECT,"Your approval is requested"
Map,Cartography
"Map provider","Map provider"
Médiathèque,"Media Library"
MEDIA_TYPE,"Media type"
MEDIUM_RESOLUTION,"Medium res"
MIGRATION_CHOOSE,Choose
MY_DATA,"My data"
MY_NEWS,"My News"
NAME,Name
"Name or path","Name or path"
NEWEST_PRODUCTS,"Latest products"
NEWS,News
NEWSLETTERS_SETTING,"E-communication settings"
NEWSLETTER_QUESTION,"I want to subscribe to regular email communications from Logitech"
Newsletter_subscription,"Newsletter subscription"
NEWS_SETTINGS,"News settings"
NEW_EMAIL_LABEL,"New email"
NEW_PASSWORD_LABEL,"New password"
NEW_PASSWORD_REPEAT_LABEL,"Confirm new password"
NO,No
Nom,Name
Order,Order
ORDER_SELECTED_ITEMS,"ORDER_SELECTED_ITEMS - N/A"
OTHER_INFORMATION_SUPPORT_SERVICES_NEEDED,"OTHER_INFORMATION_SUPPORT_SERVICES_NEEDED - N/A"
pages,pages
PASSWORD,Password
PHONE,Phone
PLEASE_CHOOSE_A_SUBJECT,"Please select a subject"
Poll,Poll
PRESS_ARTICLES_TAB,"Press Articles"
PRESS_ARTICLE_MEDIA_ONLINE,Online
PRESS_ARTICLE_MEDIA_PRINT,Print
PRESS_ARTICLE_MEDIA_RADIO,Radio
PRESS_ARTICLE_MEDIA_TV,TV
PRESS_RELEASES_TAB,"Press Releases"
PRICE,Price
PRINT_PAGE,"Print page"
PRODUCTS,Products
PRODUCT_ARCHIVED,"This product has been archived. If you need more information, please contact us"
PRODUCT_COLOR_COLLECTION,"Colour collection"
PRODUCT_DATASHEETS_AND_CERTIFICATES,"Datasheets & certificates"
PRODUCT_DATA_SHEET,"Product data sheet"
PRODUCT_DESCRIPTION,Description
PRODUCT_DESC_100_WORDS,"100-word description"
PRODUCT_DESC_25_WORDS,"25-word description"
PRODUCT_DESC_50_WORDS,"50-word description"
PRODUCT_DESC_AWARD,Awards
PRODUCT_DESC_CORE_DIFF,"Why to buy"
PRODUCT_DESC_LANDINGPAGE,"Marketing Activities"
PRODUCT_DESC_NEWS,News
PRODUCT_DESC_PACKAGE_CONTENTS,"Package contents"
PRODUCT_DESC_SALES_BENEFITS,"Sales benefits"
PRODUCT_DESC_SAMPLE_AD_COPY,"Sample ad copy"
PRODUCT_DESC_SHELF_CARD_COPY,"Shelf card copy"
PRODUCT_EMBARGO_DATE,"Embargo date"
PRODUCT_FEATURES,Features
PRODUCT_IMAGES,Images
PRODUCT_INFORMATION_TITLE,"Related products"
PRODUCT_LAUNCH_DATE,"Launch date"
PRODUCT_LOGISTIC_INFO,"Logistic info"
PRODUCT_MODEL,"PRODUCT_MODEL - N/A"
PRODUCT_NAME,"Product name"
PRODUCT_NAME_IN_SEARCH_AREA,"Enter product name / part number"
PRODUCT_PART_NUMBER,"Part numbers"
PRODUCT_QTY,"PRODUCT_QTY - to be translated"
PRODUCT_RELATED_PRODUCTS,"Related products"
PRODUCT_REQUIRED_OFFER_PRICE,"PRODUCT_REQUIRED_OFFER_PRICE - to be translated"
PRODUCT_REQUIREMENTS,"PRODUCT_REQUIREMENTS - to be translated"
PRODUCT_TYPE,"Product type"
PRODUCT_TYPE_ALL,All
PRODUCT_TYPE_BUSINESS,"Business product"
PRODUCT_TYPE_RETAIL,"Retail product"
PRODUCT_TYPE_RETAIL_RECOMMENDED_FOR_BUSINESS,"Retail product recommended for business"
PRODUCT_UNIFYING,Unifying
PROFILE,Profile
Profiles,Profiles
Pub,Pub
QUICKLINKS_BUBBLE_TEXT,"Add to quicklinks"
QUICKLINKS_INFOS,"To add a page to the watchlist, click on ##IMAGE## "
QUICKLINKS_TITLE,"Quick links"
RATING,Rating
Recent_comment,"Last comments"
"Rechercher dans :","Find in:"
"Rechercher les medias nommés ou avec l'id :","Find medias with the name or the id:"
RECOMMENDED_PRODUCTS,"We recommend"
RECOMMENDED_RETAIL_PRICE,RRP
REGISTER,Register
REGISTRATION,Registration
REGISTRATION_CONFIRMATION,"Your registration request has been submitted for approval by your local admin"
REGISTRATION_LOGIN_EXIST,"This login already exists"
REMEMBER_ME,"Remember me"
REMOVE,Remove
REMOVED,Removed
REPEAT_PASSWORD,"Repeat Password"
REQUEST_FORM_COMMENT,Comments
REQUEST_FORM_SUCCESS,"Your request has been sent"
REQUEST_HELP,Help
REQUEST_SELECTED_ITEMS,"Request selected items"
RESET_LIST,"Reset list"
RESULTS,Results
RESULTS_FOUND,"result found"
RESULTS_OF,Results
RESULTS_ORDERED_BY,"Results ordered by"
RESULTS_PER_PAGE,"Results per page"
RSS_FEED,"RSS Feed"
SAVE_MY_QUICKLINKS,"Save my Quicklinks"
SEARCH,Search
SEARCH_PRODUCTS_BY_FEATURE,"Search products by feature"
SEARCH_PRODUCTS_BY_RETAIL_NAME_PART_NUMBER,"Search products by retail name / part number"
SEARCH_PRODUCTS_NO_FEATURE_AVAILABLE,"No features available for the current selection"
SEARCH_PRODUCTS_PLEASE_SELECT_CAT,"Please select a category to see the features"
SEE_MORE,"Learn more"
SELECT_YOUR_BUSINESS_PROFILE,"Please select your business profile"
SELECT_YOUR_POSITION,"Please select your position"
SEND_REQUEST,"Send request"
SETTINGS,Settings
"Short Content","Short Content"
SHOW_ALL,"See all"
SIZE,Size
SORT_LIST,"Sort by"
STREET,"STREET - N/A"
SUBJECT_CONTACT_MAIL,Subject
"Tag identifier","Tag identifier"
"Tag type","Tag type"
TECHNICAL_SPECIFICATIONS,"Technical specifications"
TENDER_DOCUMENTS_AVAILABLE,"TENDER_DOCUMENTS_AVAILABLE - N/A"
TEST,"Test david AN"
title,Title
TO,to
TOP_PRODUCT,"Top product"
TYPE,Type
TYPE_OF_INFORMATION,"Type of information"
UPDATES,Updates
UPLOAD_VAT_CERTIFICATE,"UPLOAD_VAT_CERTIFICATE - N/A"
UPLOAD_VAT_TEXT_EMAIL_REMINDER,"MY_DATA_TEXT_EMAIL_REMINDER - to be translated"
"URL extranet","Extranet link"
User,User
Users,Users
Valider,Ok
VAT_NUMBER,"VAT Number"
VIP_MEMBER,"VIP member"
Vote,Vote
WANTED_TO_OFFER,"WANTED_TO_OFFER - N/A"
WARRANTY,Warranty
YES,Yes
YOUR_COMMENT,Comment
YOUR_E_MAIL_ADDRESS_LABEL,"Your e-mail address"
YOUR_POSITION,"Your position"
YOUR_POSITION_MARKETING,Marketing
YOUR_POSITION_OTHER,Other
YOUR_POSITION_OWNER,Owner
YOUR_POSITION_SALES,Sales
YOUR_POSITION_SHOP_MANAGER,"Shop manager"
ZIP_CODE,"Postal code"
PRESS_RELEASES_TAB,"Press Releases"
PRICE,Price
PRINT_PAGE,"Print page"
PRODUCTS,Products
PRODUCT_ARCHIVED,"This product has been archived. If you need more information, please contact us"
PRODUCT_COLOR_COLLECTION,"Colour collection"
PRODUCT_DATASHEETS_AND_CERTIFICATES,"Datasheets & certificates"
PRODUCT_DATA_SHEET,"Product data sheet"
PRODUCT_DESCRIPTION,Description
PRODUCT_DESC_100_WORDS,"100-word description"
PRODUCT_DESC_25_WORDS,"25-word description"
PRODUCT_DESC_50_WORDS,"50-word description"
PRODUCT_DESC_AWARD,Awards
PRODUCT_DESC_CORE_DIFF,"Why to buy"
PRODUCT_DESC_LANDINGPAGE,"Marketing Activities"
PRODUCT_DESC_NEWS,News
PRODUCT_DESC_PACKAGE_CONTENTS,"Package contents"
PRODUCT_DESC_SALES_BENEFITS,"Sales benefits"
PRODUCT_DESC_SAMPLE_AD_COPY,"Sample ad copy"
PRODUCT_DESC_SHELF_CARD_COPY,"Shelf card copy"
PRODUCT_EMBARGO_DATE,"Embargo date"
PRODUCT_FEATURES,Features
PRODUCT_IMAGES,Images
PRODUCT_INFORMATION_TITLE,"Related products"
PRODUCT_LAUNCH_DATE,"Launch date"
PRODUCT_LOGISTIC_INFO,"Logistic info"
PRODUCT_MODEL,"PRODUCT_MODEL - N/A"
PRODUCT_NAME,"Product name"
PRODUCT_NAME_IN_SEARCH_AREA,"Enter product name / part number"
PRODUCT_PART_NUMBER,"Part numbers"
PRODUCT_QTY,"PRODUCT_QTY - to be translated"
PRODUCT_RELATED_PRODUCTS,"Related products"
PRODUCT_REQUIRED_OFFER_PRICE,"PRODUCT_REQUIRED_OFFER_PRICE - to be translated"
PRODUCT_REQUIREMENTS,"PRODUCT_REQUIREMENTS - to be translated"
PRODUCT_TYPE,"Product type"
PRODUCT_TYPE_ALL,All
PRODUCT_TYPE_BUSINESS,"Business product"
PRODUCT_TYPE_RETAIL,"Retail product"
PRODUCT_TYPE_RETAIL_RECOMMENDED_FOR_BUSINESS,"Retail product recommended for business"
PRODUCT_UNIFYING,Unifying
PROFILE,Profile
Profiles,Profiles
Pub,Pub
QUICKLINKS_BUBBLE_TEXT,"Add to quicklinks"
QUICKLINKS_INFOS,"To add a page to the watchlist, click on ##IMAGE## "
QUICKLINKS_TITLE,"Quick links"
RATING,Rating
Recent_comment,"Last comments"
"Rechercher dans :","Find in:"
"Rechercher les medias nommés ou avec l'id :","Find medias with the name or the id:"
RECOMMENDED_PRODUCTS,"We recommend"
RECOMMENDED_RETAIL_PRICE,RRP
REGISTER,Register
REGISTRATION,Registration
REGISTRATION_CONFIRMATION,"Your registration request has been submitted for approval by your local admin"
REGISTRATION_LOGIN_EXIST,"This login already exists"
REMEMBER_ME,"Remember me"
REMOVE,Remove
REMOVED,Removed
REPEAT_PASSWORD,"Repeat Password"
REQUEST_FORM_COMMENT,Comments
REQUEST_FORM_SUCCESS,"Your request has been sent"
REQUEST_HELP,Help
REQUEST_SELECTED_ITEMS,"Request selected items"
RESET_LIST,"Reset list"
RESULTS,Results
RESULTS_FOUND,"result found"
RESULTS_OF,Results
RESULTS_ORDERED_BY,"Results ordered by"
RESULTS_PER_PAGE,"Results per page"
RSS_FEED,"RSS Feed"
SAVE_MY_QUICKLINKS,"Save my Quicklinks"
SEARCH,Search
SEARCH_PRODUCTS_BY_FEATURE,"Search products by feature"
SEARCH_PRODUCTS_BY_RETAIL_NAME_PART_NUMBER,"Search products by retail name / part number"
SEARCH_PRODUCTS_NO_FEATURE_AVAILABLE,"No features available for the current selection"
SEARCH_PRODUCTS_PLEASE_SELECT_CAT,"Please select a category to see the features"
SEE_MORE,"Learn more"
SELECT_YOUR_BUSINESS_PROFILE,"Please select your business profile"
SELECT_YOUR_POSITION,"Please select your position"
SEND_REQUEST,"Send request"
SETTINGS,Settings
"Short Content","Short Content"
SHOW_ALL,"See all"
SIZE,Size
SORT_LIST,"Sort by"
STREET,"STREET - N/A"
SUBJECT_CONTACT_MAIL,Subject
"Tag identifier","Tag identifier"
"Tag type","Tag type"
TECHNICAL_SPECIFICATIONS,"Technical specifications"
TENDER_DOCUMENTS_AVAILABLE,"TENDER_DOCUMENTS_AVAILABLE - N/A"
TEST,"Test david AN"
title,Title
TO,to
TOP_PRODUCT,"Top product"
TYPE,Type
TYPE_OF_INFORMATION,"Type of information"
UPDATES,Updates
UPLOAD_VAT_CERTIFICATE,"UPLOAD_VAT_CERTIFICATE - N/A"
UPLOAD_VAT_TEXT_EMAIL_REMINDER,"MY_DATA_TEXT_EMAIL_REMINDER - to be translated"
"URL extranet","Extranet link"
User,User
Users,Users
Valider,Ok
VAT_NUMBER,"VAT Number"
VIP_MEMBER,"VIP member"
Vote,Vote
WANTED_TO_OFFER,"WANTED_TO_OFFER - N/A"
WARRANTY,Warranty
YES,Yes
YOUR_COMMENT,Comment
YOUR_E_MAIL_ADDRESS_LABEL,"Your e-mail address"
YOUR_POSITION,"Your position"
YOUR_POSITION_MARKETING,Marketing
YOUR_POSITION_OTHER,Other
YOUR_POSITION_OWNER,Owner
YOUR_POSITION_SALES,Sales
YOUR_POSITION_SHOP_MANAGER,"Shop manager"
ZIP_CODE,"Postal code"
RECOMMENDED_PRODUCTS,"We recommend"
