CIVILITY,Titre
CLOSE,Fermer
COMPANY,Société
COMPANY_ERROR,"Veuillez sélectionner votre pays"
CONTACT,Contact
CONTACT_SUBJECT,Objet
"Content types","Types de contenu"
COUNTRY,Pays
Createur,Créateur
Créateur(s),Créateur(s)
CREATE_COMPARISON,"Créer comparaison"
"Créer un contenu de type : ","Créer un contenu de type : "
CUSTOMER_DEPOSITS,"CUSTOMER_DEPOSITS - N/A"
CUSTOMER_NUMBER,"CUSTOMER_NUMBER - N/A"
"dans la Recherche","dans la Recherche"
DATE,Date
DAVID,"Test david BO"
DELIVERY_ADDRESS,"Informations sur la livraison"
DELIVERY_TIME,"DELIVERY_TIME - N/A"
DEMO_SITE,"Site de demonstration"
DESIRED_END_DATE,"DESIRED_END_DATE - N/A"
DISTRIBUTOR_ACTEBIS_PEACOK_GMBH,"DISTRIBUTOR_ACTEBIS_PEACOK_GMBH - N/A"
DISTRIBUTOR_API_COMPUTERHANDELS_GMBH,"DISTRIBUTOR_API_COMPUTERHANDELS_GMBH - N/A"
DISTRIBUTOR_B_COM_COMPUTER_AG,"DISTRIBUTOR_B_COM_COMPUTER_AG - N/A"
DISTRIBUTOR_INGRAM_MICRO_DISTRIBUTION_GMBH,"DISTRIBUTOR_INGRAM_MICRO_DISTRIBUTION_GMBH - N/A"
DNS,DNS
DOES_YOUR_COMPANY_HAVE_AN_E_TAIL_SITE,"Votre entreprise possède-t-elle un site de vente au détail en ligne?"
DOES_YOUR_COMPANY_HAVE_A_RETAIL_STORE,"Votre société possède-t-elle un magasin ?"
DON_T_KNOW,"Ne sais pas"
Dossiers,Dossiers
DOWNLOAD,Télécharger
DO_YOU_HAVE_AN_ACCOUNT_MANAGER_AT_LOGITECH,"Travaillez-vous avec un gestionnaire de compte Logitech?"
"Droits etendus","Droits étendus"
EDIT_MY_NEWS,"Modifier mes actualités"
EDIT_MY_QUICKLINKS,"Modifier ma liste à surveiller"
EMAIL,"Adresse électronique"
EMAIL_ERROR,"Veuillez saisir votre adresse électronique"
EMAIL_FOR_LOGIN,"Adresse électronique (pour la connexion)"
EMAIL_SUBSCRIBER_REJECTED,"<p>Malheureusement, votre compte Logitech Partner Exchange n'a pas été approuvé pour la raison suivante:</p>
<p>##REASON##.</p>
<p>Pour toute question, il suffit d'envoyer un courrier électronique à l'adresse <a href=""mailto:##MAIL##"">##MAIL##.</a></p>
<p>Cordialement,<br />Logitech Europe SA</p>"
EMAIL_SUBSCRIBER_REMOVED,"<p>Nous sommes désolés, votre nouveau compte Logitech Partner Exchange a été bloqué.</p>
<p>Pour toute question, il suffit d'envoyer un courrier électronique à l'adresse <a href=""mailto:partner.fr@logitech.com"">partner.fr@logitech.com</a>.</p>
<p>Cordialement,<br />Logitech Europe SA</p>"
EMAIL_SUBSCRIBER_VALIDATED,"<p>Votre nouveau compte Logitech Partner Exchange a été validé. Vous avez à présent accès à l'intégralité de notre site.</p>
<p>Pour toute question, il suffit d'envoyer un courrier électronique à l'adresse <a href=""mailto:partner.fr@logitech.com"">partner.fr@logitech.com</a>.</p>
<p>Cordialement,<br />Logitech Partner Exchange</p>"
EMBARGO_PLD_LEGEND,Prochainement
ENQUIRY_FORM_BLOC_A_LABEL,"ENQUIRY_FORM_BLOC_A_LABEL - N/A"
ENQUIRY_FORM_BLOC_B_LABEL,"ENQUIRY_FORM_BLOC_B_LABEL - N/A"
ENQUIRY_FORM_BLOC_C_LABEL,"ENQUIRY_FORM_BLOC_C_LABEL - N/A"
ENQUIRY_FORM_BLOC_D_LABEL,"ENQUIRY_FORM_BLOC_D_LABEL - N/A"
ENQUIRY_FORM_BLOC_E_LABEL,"ENQUIRY_FORM_BLOC_E_LABEL - N/A"
ENQUIRY_FORM_BLOC_F_LABEL,"ENQUIRY_FORM_BLOC_F_LABEL - N/A"
ENQUIRY_LINK,"ENQUIRY_LINK - N/A"
ERROR_POS_DENIED_ACCESS,"Vous devez être un utilisateur validé pour accéder à la page POS Material ou Marketing collateral"
EVENT_TAB,Evénements
EXCLUDING_VAT,"Hors TVA"
FAQ,Q&R
FAX,Fax
"Featured Links",Liens
FILTER,Filtrer
FIND_ARCHIVED_PRODUCTS,"Rechercher des produits archivés"
FIRST_NAME,Prénom
FIRST_NAME_ERROR,"Veuillez saisir votre prénom"
FIRST_TIME_DELIVERY,"FIRST_TIME_DELIVERY - N/A"
FOCUS_AREA,"Domaines d'intérêt"
FOOTER_COPYRIGHT_NOTICE,"Copyright 2011 Logitech. Tous droits réservés"
FORGOT_PASSWORD,"Mot de passe oublié"
FORGOT_PASSWORD_ERROR_EMAIL_TEXT,"Adresse électronique inconnue"
FORGOT_PASSWORD_ERROR_PWD_TEXT,"message d'erreur pour formulaire oubli mot de passe"
FORGOT_PASSWORD_LABEL,"Mot de passe oublié"
FORGOT_PASSWORD_MAIL_SUBJECT,"Mot de passe oublié pour le site Logitech Partner Exchange"
FORGOT_PASSWORD_MAIL_TEXT,"<p>Vous avez indiqué ne plus pouvoir vous connecter à Logitech Partner Exchange.</p>
<p>Cliquez sur le lien ci-dessous pour réinitialiser votre mot de passe afin de pouvoir vous reconnecter.</p>
<p>##URL##</p>
<p>Si vous avez des questions, envoyez un e-mail à <a href=""mailto:partner.uk@logitech.com"">partner.uk@logitech.com</a></p>
<p>Cordialement,<br />Logitech Europe SA</p>"
FORGOT_PASSWORD_TEXT_PRESENTATION_STEP1,"Saisissez votre adresse électronique afin de recevoir un message de réinitialisation de mot de passe"
FORGOT_PASSWORD_TEXT_PRESENTATION_STEP2,"Un message électronique vous a été envoyé à votre adresse. Cliquez sur le lien contenu dans ce message pour réinitialiser votre mot de passe"
FORGOT_PASSWORD_TEXT_PRESENTATION_STEP3,"Pour réinitialiser votre mot de passe, saisissez le nouveau mot de passe de votre choix dans les deux champs ci-dessous comme indiqué, puis cliquez pour enregistrer"
FORM_BUTTON_COPY,Dupliquer
Front,Front
GLOSSARY,Glossaire
Groupe,Groupe
"Has list","Affichage en liste"
HIGH_RESOLUTION,"Haute rés"
icone,Icône
Identifiant,Identifiant
IMG_CHANGE_MAIL_SAVE_NEW_EMAIL_BUTTON,"Enregistrer nouvelle adresse électronique"
IMG_DOWNLOAD_ALL_BUTTON,"Télécharger tout"
IMG_DOWNLOAD_SELECTED_ITEMS_BUTTON,"Télécharger les éléments sélectionnés"
IMG_FORGOT_PASSWORD_SAVE_NEW_PASSWORD_BUTTON,"Enregistrer le nouveau mot de passe"
IMG_FORGOT_PASSWORD_SEND_BUTTON,Envoyer
IMG_LOGIN_BUTTON,Connexion
IMG_REGISTER_BUTTON,"Inscrivez-vous !"
IMG_REGISTRATION_BUTTON,S'inscrire
IMG_SAVE_CHANGES_BUTTON,"Sauvegarder les changements"
IMG_SEARCH_BUTTON,Rechercher
IMG_SEND_ENQUIRY_BUTTON,"Envoyer la demande"
IMG_SEND_REQUEST_BUTTON,"Envoyer la demande"
IMG_TAKE_TOUR_BUTTON,"Regarder la présentation"
IMG_TOP_CAT_BUTTON,N°1
IMG_TOP_PRODUCT_BUTTON,"Nous recommandons"
IMG_WE_RECOMMEND_BUTTON,
IMPORT_TRAD_FO,Import
Informations,Informations
INTERNAL_CONTACT_SOCIETY,"INTERNAL_CONTACT_SOCIETY - N/A"
ITEM_REQUESTED,"Eléments demandés"
l'auteur,l'auteur
"l'icône d'envoi à un ami","l'icône d'envoi à un ami"
"l'icône d'impression","l'icône d'impression"
"l'icône PDF","l'icône PDF"
"la date de publication","la date de publication"
LABEL_TRANSLATE,Traduction
LANGUAGE,Langue
LANG_EN,Anglais
LANG_FR,Français
LANG_LIST,"Liste des langues"
"Last articles","Les derniers articles"
FOCUS_AREA,"Domaines d'intérêt"
FOOTER_COPYRIGHT_NOTICE,"Copyright 2011 Logitech. Tous droits réservés"
FORGOT_PASSWORD,"Mot de passe oublié"
FORGOT_PASSWORD_ERROR_EMAIL_TEXT,"Adresse électronique inconnue"
FORGOT_PASSWORD_ERROR_PWD_TEXT,"message d'erreur pour formulaire oubli mot de passe"
FORGOT_PASSWORD_LABEL,"Mot de passe oublié"
FORGOT_PASSWORD_MAIL_SUBJECT,"Mot de passe oublié pour le site Logitech Partner Exchange"
FORGOT_PASSWORD_MAIL_TEXT,"<p>Vous avez indiqué ne plus pouvoir vous connecter à Logitech Partner Exchange.</p>
<p>Cliquez sur le lien ci-dessous pour réinitialiser votre mot de passe afin de pouvoir vous reconnecter.</p>
<p>##URL##</p>
<p>Si vous avez des questions, envoyez un e-mail à <a href=""mailto:partner.uk@logitech.com"">partner.uk@logitech.com</a></p>
<p>Cordialement,<br />Logitech Europe SA</p>"
FORGOT_PASSWORD_TEXT_PRESENTATION_STEP1,"Saisissez votre adresse électronique afin de recevoir un message de réinitialisation de mot de passe"
FORGOT_PASSWORD_TEXT_PRESENTATION_STEP2,"Un message électronique vous a été envoyé à votre adresse. Cliquez sur le lien contenu dans ce message pour réinitialiser votre mot de passe"
FORGOT_PASSWORD_TEXT_PRESENTATION_STEP3,"Pour réinitialiser votre mot de passe, saisissez le nouveau mot de passe de votre choix dans les deux champs ci-dessous comme indiqué, puis cliquez pour enregistrer"
FORM_BUTTON_COPY,Dupliquer
Front,Front
GLOSSARY,Glossaire
Groupe,Groupe
"Has list","Affichage en liste"
HIGH_RESOLUTION,"Haute rés"
icone,Icône
Identifiant,Identifiant
IMG_CHANGE_MAIL_SAVE_NEW_EMAIL_BUTTON,"Enregistrer nouvelle adresse électronique"
IMG_DOWNLOAD_ALL_BUTTON,"Télécharger tout"
IMG_DOWNLOAD_SELECTED_ITEMS_BUTTON,"Télécharger les éléments sélectionnés"
IMG_FORGOT_PASSWORD_SAVE_NEW_PASSWORD_BUTTON,"Enregistrer le nouveau mot de passe"
IMG_FORGOT_PASSWORD_SEND_BUTTON,Envoyer
IMG_LOGIN_BUTTON,Connexion
IMG_REGISTER_BUTTON,"Inscrivez-vous !"
IMG_REGISTRATION_BUTTON,S'inscrire
IMG_SAVE_CHANGES_BUTTON,"Sauvegarder les changements"
IMG_SEARCH_BUTTON,Rechercher
IMG_SEND_ENQUIRY_BUTTON,"Envoyer la demande"
IMG_SEND_REQUEST_BUTTON,"Envoyer la demande"
IMG_TAKE_TOUR_BUTTON,"Regarder la présentation"
IMG_TOP_CAT_BUTTON,N°1
IMG_TOP_PRODUCT_BUTTON,"Nous recommandons"
IMG_WE_RECOMMEND_BUTTON,
IMPORT_TRAD_FO,Import
Informations,Informations
INTERNAL_CONTACT_SOCIETY,"INTERNAL_CONTACT_SOCIETY - N/A"
ITEM_REQUESTED,"Eléments demandés"
l'auteur,l'auteur
"l'icône d'envoi à un ami","l'icône d'envoi à un ami"
"l'icône d'impression","l'icône d'impression"
"l'icône PDF","l'icône PDF"
"la date de publication","la date de publication"
LABEL_TRANSLATE,Traduction
LANGUAGE,Langue
LANG_EN,Anglais
LANG_FR,Français
LANG_LIST,"Liste des langues"
"Last articles","Les derniers articles"
LAST_NAME,Nom
LAST_NAME_ERROR,"Veuillez saisir votre nom"
"le QR Code","le QR Code"
LEARN_MORE,"Pour en savoir plus"
"Left label","Libellé gauche"
"les commentaires","les commentaires"
"les partages sociaux","les partages sociaux"
"les tags","les tags"
Link,"Lien internet"
LOGIN,Connexion
LOGIN_ERROR_NOT_EXIST,"Mauvais login/mot de passe"
Logo,Logo
LOGOUT,Déconnexion
LOT_SIZES,"LOT_SIZES - N/A"
LOW_RESOLUTION,"Basse rés"
MAIL_APPROVAL_REQUEST_BODY,"Vous avez reçu du contenu Logitech Partner Exchange à approuver.

Veuillez retourner vos commentaires avant la date indiquée.

Lien : ##TOKEN##

Si vous rejetez le contenu, vous êtes tenu d'en indiquer la raison.

Merci."
MAIL_APPROVAL_REQUEST_SUBJECT,"Votre approbation est requise"
Map,Cartographie
"Map provider",Cartographie
Médiathèque,Médiathèque
MEDIA_TYPE,"Type de média"
MEDIUM_RESOLUTION,"Moyenne rés"
MIGRATION_CHOOSE,Choisir
MY_DATA,"Mes données"
MY_NEWS,"Mes actualités"
NAME,Nom
"Name or path","Nom ou chemin"
NEWEST_PRODUCTS,"Produits les plus récents"
NEWS,Actualités
NEWSLETTERS_SETTING,"Paramètres e-communications"
NEWSLETTER_QUESTION,"Je souhaite recevoir des newsletters de Logitech"
Newsletter_subscription,"Inscription à la newsletter"
NEWS_SETTINGS,"Paramètres nouvelles"
NEW_EMAIL_LABEL,"Nouvelle adresse électronique"
NEW_PASSWORD_LABEL,"Nouveau mot de passe"
NEW_PASSWORD_REPEAT_LABEL,"Confirmation du nouveau mot de passe"
NO,Non
Nom,Nom
Order,Ordre
ORDER_SELECTED_ITEMS,"ORDER_SELECTED_ITEMS - N/A"
OTHER_INFORMATION_SUPPORT_SERVICES_NEEDED,"OTHER_INFORMATION_SUPPORT_SERVICES_NEEDED - N/A"
pages,pages
PASSWORD,"Mot de passe"
PHONE,Téléphone
PLEASE_CHOOSE_A_SUBJECT,"Veuillez sélectionner un objet"
Poll,Sondage
PRESS_ARTICLES_TAB,"Articles de presse"
PRESS_ARTICLE_MEDIA_ONLINE,"En ligne"
PRESS_ARTICLE_MEDIA_PRINT,Imprimés
PRESS_ARTICLE_MEDIA_RADIO,Radio
PRESS_ARTICLE_MEDIA_TV,TV
PRESS_RELEASES_TAB,"Communiqués de presse"
PRICE,Prix
PRINT_PAGE,"Imprimer la page"
PRODUCTS,Produits
PRODUCT_ARCHIVED,"Ce produit a été archivé. Si vous avez besoin de plus de renseignements, veuillez nous contacter"
PRODUCT_COLOR_COLLECTION,"Collection couleur"
PRODUCT_DATASHEETS_AND_CERTIFICATES,"Fiches techniques et certificats"
PRODUCT_DATA_SHEET,"Fiche produit"
PRODUCT_DESCRIPTION,Description
PRODUCT_DESC_100_WORDS,"Description de 100 mots"
PRODUCT_DESC_25_WORDS,"Description de 25 mots"
PRODUCT_DESC_50_WORDS,"Description de 50 mots"
PRODUCT_DESC_AWARD,Récompenses
PRODUCT_DESC_CORE_DIFF,"Justification de l'achat"
PRODUCT_DESC_LANDINGPAGE,"Activités de marketing"
PRODUCT_DESC_NEWS,Actualités
PRODUCT_DESC_PACKAGE_CONTENTS,Contenu
PRODUCT_DESC_SALES_BENEFITS,"Arguments de vente"
PRODUCT_DESC_SAMPLE_AD_COPY,"Echantillon publicitaire"
PRODUCT_DESC_SHELF_CARD_COPY,"Affiche de rayon"
PRODUCT_EMBARGO_DATE,"Date de l'embargo"
PRODUCT_FEATURES,Fonctions
PRODUCT_IMAGES,Images
PRODUCT_INFORMATION_TITLE,"Produits connexes"
PRODUCT_LAUNCH_DATE,"Date de lancement du produit"
PRODUCT_LOGISTIC_INFO,"Info logistique"
PRODUCT_MODEL,"PRODUCT_MODEL - N/A"
PRODUCT_NAME,"Nom du produit"
PRODUCT_NAME_IN_SEARCH_AREA,"Saisir nom de produit / numéros de pièce"
PRODUCT_PART_NUMBER,"Numéros de pièce"
PRODUCT_QTY,"PRODUCT_QTY - to be translated"
PRODUCT_RELATED_PRODUCTS,"Produits connexes"
PRODUCT_REQUIRED_OFFER_PRICE,"PRODUCT_REQUIRED_OFFER_PRICE - to be translated"
PRODUCT_REQUIREMENTS,"PRODUCT_REQUIREMENTS - to be translated"
PRODUCT_TYPE,"Product type"
PRODUCT_TYPE_ALL,All
PRODUCT_TYPE_BUSINESS,"Business product"
PRODUCT_TYPE_RETAIL,"Retail product"
PRODUCT_TYPE_RETAIL_RECOMMENDED_FOR_BUSINESS,"Retail product recommended for business"
PRODUCT_UNIFYING,Unifying
PROFILE,Profil
Profiles,Profils
Pub,Pub
QUICKLINKS_BUBBLE_TEXT,"Ajouter à ma liste à surveiller"
QUICKLINKS_INFOS,"Pour ajouter une page à la liste à surveiller, cliquez sur ##IMAGE## "
QUICKLINKS_TITLE,"Liste à surveiller"
RATING,Note
Recent_comment,"Commentaires récents"
"Rechercher dans :","Rechercher dans :"
LAST_NAME,Nom
LAST_NAME_ERROR,"Veuillez saisir votre nom"
"le QR Code","le QR Code"
LEARN_MORE,"Pour en savoir plus"
"Left label","Libellé gauche"
"les commentaires","les commentaires"
"les partages sociaux","les partages sociaux"
"les tags","les tags"
Link,"Lien internet"
LOGIN,Connexion
LOGIN_ERROR_NOT_EXIST,"Mauvais login/mot de passe"
Logo,Logo
LOGOUT,Déconnexion
LOT_SIZES,"LOT_SIZES - N/A"
LOW_RESOLUTION,"Basse rés"
MAIL_APPROVAL_REQUEST_BODY,"Vous avez reçu du contenu Logitech Partner Exchange à approuver.

Veuillez retourner vos commentaires avant la date indiquée.

Lien : ##TOKEN##

Si vous rejetez le contenu, vous êtes tenu d'en indiquer la raison.

Merci."
MAIL_APPROVAL_REQUEST_SUBJECT,"Votre approbation est requise"
Map,Cartographie
"Map provider",Cartographie
Médiathèque,Médiathèque
MEDIA_TYPE,"Type de média"
MEDIUM_RESOLUTION,"Moyenne rés"
MIGRATION_CHOOSE,Choisir
MY_DATA,"Mes données"
MY_NEWS,"Mes actualités"
NAME,Nom
"Name or path","Nom ou chemin"
NEWEST_PRODUCTS,"Produits les plus récents"
NEWS,Actualités
NEWSLETTERS_SETTING,"Paramètres e-communications"
NEWSLETTER_QUESTION,"Je souhaite recevoir des newsletters de Logitech"
Newsletter_subscription,"Inscription à la newsletter"
NEWS_SETTINGS,"Paramètres nouvelles"
NEW_EMAIL_LABEL,"Nouvelle adresse électronique"
NEW_PASSWORD_LABEL,"Nouveau mot de passe"
NEW_PASSWORD_REPEAT_LABEL,"Confirmation du nouveau mot de passe"
NO,Non
Nom,Nom
Order,Ordre
ORDER_SELECTED_ITEMS,"ORDER_SELECTED_ITEMS - N/A"
OTHER_INFORMATION_SUPPORT_SERVICES_NEEDED,"OTHER_INFORMATION_SUPPORT_SERVICES_NEEDED - N/A"
pages,pages
PASSWORD,"Mot de passe"
PHONE,Téléphone
PLEASE_CHOOSE_A_SUBJECT,"Veuillez sélectionner un objet"
Poll,Sondage
PRESS_ARTICLES_TAB,"Articles de presse"
PRESS_ARTICLE_MEDIA_ONLINE,"En ligne"
PRESS_ARTICLE_MEDIA_PRINT,Imprimés
PRESS_ARTICLE_MEDIA_RADIO,Radio
PRESS_ARTICLE_MEDIA_TV,TV
PRESS_RELEASES_TAB,"Communiqués de presse"
PRICE,Prix
PRINT_PAGE,"Imprimer la page"
PRODUCTS,Produits
PRODUCT_ARCHIVED,"Ce produit a été archivé. Si vous avez besoin de plus de renseignements, veuillez nous contacter"
PRODUCT_COLOR_COLLECTION,"Collection couleur"
PRODUCT_DATASHEETS_AND_CERTIFICATES,"Fiches techniques et certificats"
PRODUCT_DATA_SHEET,"Fiche produit"
PRODUCT_DESCRIPTION,Description
PRODUCT_DESC_100_WORDS,"Description de 100 mots"
PRODUCT_DESC_25_WORDS,"Description de 25 mots"
PRODUCT_DESC_50_WORDS,"Description de 50 mots"
PRODUCT_DESC_AWARD,Récompenses
PRODUCT_DESC_CORE_DIFF,"Justification de l'achat"
PRODUCT_DESC_LANDINGPAGE,"Activités de marketing"
PRODUCT_DESC_NEWS,Actualités
PRODUCT_DESC_PACKAGE_CONTENTS,Contenu
PRODUCT_DESC_SALES_BENEFITS,"Arguments de vente"
PRODUCT_DESC_SAMPLE_AD_COPY,"Echantillon publicitaire"
PRODUCT_DESC_SHELF_CARD_COPY,"Affiche de rayon"
PRODUCT_EMBARGO_DATE,"Date de l'embargo"
PRODUCT_FEATURES,Fonctions
PRODUCT_IMAGES,Images
PRODUCT_INFORMATION_TITLE,"Produits connexes"
PRODUCT_LAUNCH_DATE,"Date de lancement du produit"
PRODUCT_LOGISTIC_INFO,"Info logistique"
PRODUCT_MODEL,"PRODUCT_MODEL - N/A"
PRODUCT_NAME,"Nom du produit"
PRODUCT_NAME_IN_SEARCH_AREA,"Saisir nom de produit / numéros de pièce"
PRODUCT_PART_NUMBER,"Numéros de pièce"
PRODUCT_QTY,"PRODUCT_QTY - to be translated"
PRODUCT_RELATED_PRODUCTS,"Produits connexes"
PRODUCT_REQUIRED_OFFER_PRICE,"PRODUCT_REQUIRED_OFFER_PRICE - to be translated"
PRODUCT_REQUIREMENTS,"PRODUCT_REQUIREMENTS - to be translated"
PRODUCT_TYPE,"Product type"
PRODUCT_TYPE_ALL,All
PRODUCT_TYPE_BUSINESS,"Business product"
PRODUCT_TYPE_RETAIL,"Retail product"
PRODUCT_TYPE_RETAIL_RECOMMENDED_FOR_BUSINESS,"Retail product recommended for business"
PRODUCT_UNIFYING,Unifying
PROFILE,Profil
Profiles,Profils
Pub,Pub
QUICKLINKS_BUBBLE_TEXT,"Ajouter à ma liste à surveiller"
QUICKLINKS_INFOS,"Pour ajouter une page à la liste à surveiller, cliquez sur ##IMAGE## "
QUICKLINKS_TITLE,"Liste à surveiller"
RATING,Note
Recent_comment,"Commentaires récents"
"Rechercher dans :","Rechercher dans :"
"Rechercher les medias nommés ou avec l'id :","Rechercher les medias nommés ou avec l'id :"
RECOMMENDED_PRODUCTS,"Nous recommandons"
RECOMMENDED_RETAIL_PRICE,"Prix recommandé"
REGISTER,S'incrire
REGISTRATION,Inscription
REGISTRATION_CONFIRMATION,"Votre demande d'inscription a été transmise à votre admin pour approbation"
REGISTRATION_LOGIN_EXIST,"Cet identifiant existe déjà"
REMEMBER_ME,"Se souvenir de moi"
REMOVE,Supprimer
REMOVED,Supprimé
REPEAT_PASSWORD,"Confirmation du mot de passe"
REQUEST_FORM_COMMENT,Commentaires
REQUEST_FORM_SUCCESS,"Votre demande a été envoyée"
REQUEST_HELP,Aide
REQUEST_SELECTED_ITEMS,"Demander les éléments sélectionnés"
RESET_LIST,"Réinitialiser la liste"
RESULTS,Résultats
RESULTS_FOUND,"résultats trouvés"
RESULTS_OF,"Résultats de"
RESULTS_ORDERED_BY,"Résultats triés par"
RESULTS_PER_PAGE,"Nombre de résultats par page"
RSS_FEED,"Flux RSS"
SAVE_MY_QUICKLINKS,"Enregistrer ma liste à surveiller"
SEARCH,Rechercher
SEARCH_PRODUCTS_BY_FEATURE,"Rechercher des produits par fonction"
SEARCH_PRODUCTS_BY_RETAIL_NAME_PART_NUMBER,"Rechercher des produits par nom / numéro de pièce"
SEARCH_PRODUCTS_NO_FEATURE_AVAILABLE,"Pas de fonctions disponibles pour la sélection"
SEARCH_PRODUCTS_PLEASE_SELECT_CAT,"Veuillez sélectionner un catégorie pour afficher les fonctions"
SEE_MORE,"Pour en savoir plus"
SELECT_YOUR_BUSINESS_PROFILE,"Veuillez sélectionner le profil de votre société"
SELECT_YOUR_POSITION,"Veuillez choisir votre poste"
SEND_REQUEST,"Envoyer la demande"
SETTINGS,Paramêtres
"Short Content",Résumé
SHOW_ALL,"Voir tout"
SIZE,Taille
SORT_LIST,"Trier par"
STREET,"STREET - N/A"
SUBJECT_CONTACT_MAIL,Sujet
"Tag identifier","Clé de tag"
"Tag type","Type de tag"
TECHNICAL_SPECIFICATIONS,"Spécifications techniques"
TENDER_DOCUMENTS_AVAILABLE,"TENDER_DOCUMENTS_AVAILABLE - N/A"
TEST,"Test david FR"
tete,tete
title,Titre
TO,à
TOP_PRODUCT,"TOP_PRODUCT - to be translated"
TYPE,Type
TYPE_OF_INFORMATION,"Nature des informations"
UPDATES,Actualités
UPLOAD_VAT_CERTIFICATE,"UPLOAD_VAT_CERTIFICATE - N/A"
UPLOAD_VAT_TEXT_EMAIL_REMINDER,"MY_DATA_TEXT_EMAIL_REMINDER - to be translated"
"URL extranet","URL extranet"
User,Utilisateur
Users,Utilisateurs
Valider,Valider
VAT_NUMBER,"Numéro de TVA "
Vote,Voter
WANTED_TO_OFFER,"WANTED_TO_OFFER - N/A"
WARRANTY,Garantie
YES,Oui
YOUR_COMMENT,Commentaires
YOUR_E_MAIL_ADDRESS_LABEL,"Votre adresse e-mail"
YOUR_POSITION,"Votre poste"
YOUR_POSITION_MARKETING,Marketing
YOUR_POSITION_OTHER,Autre
YOUR_POSITION_OWNER,Gérant
YOUR_POSITION_SALES,Ventes
YOUR_POSITION_SHOP_MANAGER,"Responsable de boutique"
ZIP_CODE,"Code postal"
PRESS_ARTICLE_MEDIA_TV,TV
PRESS_RELEASES_TAB,"Communiqués de presse"
PRICE,Prix
PRINT_PAGE,"Imprimer la page"
PRODUCTS,Produits
PRODUCT_ARCHIVED,"Ce produit a été archivé. Si vous avez besoin de plus de renseignements, veuillez nous contacter"
PRODUCT_COLOR_COLLECTION,"Collection couleur"
PRODUCT_DATASHEETS_AND_CERTIFICATES,"Fiches techniques et certificats"
PRODUCT_DATA_SHEET,"Fiche produit"
PRODUCT_DESCRIPTION,Description
PRODUCT_DESC_100_WORDS,"Description de 100 mots"
PRODUCT_DESC_25_WORDS,"Description de 25 mots"
PRODUCT_DESC_50_WORDS,"Description de 50 mots"
PRODUCT_DESC_AWARD,Récompenses
PRODUCT_DESC_CORE_DIFF,"Justification de l'achat"
PRODUCT_DESC_LANDINGPAGE,"Activités de marketing"
PRODUCT_DESC_NEWS,Actualités
PRODUCT_DESC_PACKAGE_CONTENTS,Contenu
PRODUCT_DESC_SALES_BENEFITS,"Arguments de vente"
PRODUCT_DESC_SAMPLE_AD_COPY,"Echantillon publicitaire"
PRODUCT_DESC_SHELF_CARD_COPY,"Affiche de rayon"
PRODUCT_EMBARGO_DATE,"Date de l'embargo"
PRODUCT_FEATURES,Fonctions
PRODUCT_IMAGES,Images
PRODUCT_INFORMATION_TITLE,"Produits connexes"
PRODUCT_LAUNCH_DATE,"Date de lancement du produit"
PRODUCT_LOGISTIC_INFO,"Info logistique"
PRODUCT_MODEL,"PRODUCT_MODEL - N/A"
PRODUCT_NAME,"Nom du produit"
PRODUCT_NAME_IN_SEARCH_AREA,"Saisir nom de produit / numéros de pièce"
PRODUCT_PART_NUMBER,"Numéros de pièce"
PRODUCT_QTY,"PRODUCT_QTY - to be translated"
